"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"492","439","431","639","1028","246","246","70","70","141","0","Nigeria","Bauchi","Toro","Wonu North","Gumau Model Primary Health Center","195","213","209","187","107","80.78","439","0","0","439","0","0","42","Primary Health Center","public","org-42d22015-038c-4918-9883-8340aa001a3a","Invalid Number","Unknown","42","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.01364699955","10.2587689996"
"5195","5234","5594","8996","5465","2598","2598","742","742","1484","0","Nigeria","Bauchi","Toro","Wonu North","Gumau Primary Health Care Center","2244","2502","2850","2349","1095","47.29","5234","0","0","5095","139","0","6","Primary Health Center","public","org-6ca2ad7d-15e6-4b9f-8685-15c9128fa15b","5","Local Government","6","primary","active","Nigeria","Bauchi","24126326","Toro","nga-ba-5018","9.017129","10.254636"
"4910","3454","4113","5227","5104","2455","2455","702","702","1401","0","Nigeria","Bauchi","Toro","Wonu North","Lau Primary Health Clinic","1477","1707","1736","1407","666","33.11","3454","0","0","2561","893","0","878","Primary Health Clinic","public","org-878f91e1-8bc4-4042-8df5-41fde2c9ae7d","5","Local Government","878","primary","active","Nigeria","Bauchi","24748015","Toro","nga-ba-5018","9.00904","10.2361"
"1389","985","1203","1232","1686","694","694","198","198","397","0","Nigeria","Bauchi","Toro","Wonu North","Nurayni Health Clinic","389","430","404","348","206","61.47","985","0","0","985","0","0","Invalid Number","Primary Health Clinic","private","org-b43f17e8-8a8f-4111-a6cb-b99b294603da","5","For Profit","Invalid Number","primary","active","Nigeria","Bauchi","46984206","Toro","nga-ba-5018","9.01218","10.25825"
"6045","4453","5064","7042","6329","3022","3022","864","864","1727","0","Nigeria","Bauchi","Toro","Wonu North","Pingel Primary Health Clinic","421","2131","2275","1928","845","32.20","4452","1","0","3163","1290","0","8","Primary Health Clinic","public","org-8c0511e9-9d93-46cf-a82a-2979bbbbe58b","5","Local Government","8","primary","active","Nigeria","Bauchi","33690101","Toro","nga-ba-5018","9.08308099973","10.3396409995"
"3285","2430","2410","4062","2915","1642","1642","469","469","938","0","Nigeria","Bauchi","Toro","Wonu North","Ramadan Clinic","1149","1261","1272","1119","596","70.05","2430","0","0","2430","0","0","4158","Primary Health Center","private","org-4158a62c-19e7-4bf2-861a-6775a0fd9784","Invalid Number","Unknown","4158","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.015964","10.249656"
"3332","2895","3284","4839","3966","1666","1666","476","476","952","0","Nigeria","Bauchi","Toro","Wonu North","Ririwai Health Post","930","1489","1590","1319","603","28.95","2893","2","0","2840","56","0","4.4e+23","Health Post","public","org-44e22fbf-0981-40a6-af21-ac8e31babd46","5","Local Government","4.4e+23","primary","active","Nigeria","Bauchi","82991169","Toro","nga-ba-5018","8.977133","10.282217"
"4429","3046","3692","4099","5018","2215","2215","633","633","1265","0","Nigeria","Bauchi","Toro","Wonu North","Taimako Health Clinic","1165","1391","1462","1239","607","41.85","3046","0","0","2615","431","0","3","Primary Health Clinic","private","org-3fd1e3b7-6f89-4778-ba6e-da0286469c1f","5","For Profit","3","primary","active","Nigeria","Bauchi","78395199","Toro","nga-ba-5018","9.01127","10.26415"
"4571","5359","3548","6499","4591","2286","2286","653","653","1306","0","Nigeria","Bauchi","Toro","Wonu South","Badikko Health Post","1551","2337","2345","1957","964","32.54","5359","0","0","4699","660","0","3","Health Post","public","org-3f9e1778-d826-4885-9bb4-57180552812b","5","Local Government","3","primary","active","Nigeria","Bauchi","49202065","Toro","nga-ba-5018","9.09338799973","10.1719689996"
"2728","3129","2936","3980","2752","1364","1364","390","390","779","0","Nigeria","Bauchi","Toro","Wonu South","Bakin Kogi Health Post","946","1276","1415","1136","485","28.24","3129","0","0","2457","672","0","36742","Health Post","public","org-36742dde-7e08-408e-9901-3e6a15f9b368","Invalid Number","Unknown","36742","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.045605","10.213884"
"3286","3344","2244","4098","2980","1643","1643","469","469","939","0","Nigeria","Bauchi","Toro","Wonu South","Geljaule Primary Health Care Center","901","1466","1461","1223","608","28.67","3309","35","0","3034","310","0","8469","Primary Health Center","public","org-8469fbfd-acc5-4060-a3cb-037ff516b07f","5","Local Government","8469","primary","active","Nigeria","Bauchi","79073014","Toro","nga-ba-5018","9.10848329208","10.1608888131"
"893","1127","758","1165","1364","446","446","128","128","255","0","Nigeria","Bauchi","Toro","Wonu South","Jalla Koji Health Post","296","487","496","404","219","26.88","1127","0","0","1127","0","0","3","Health Post","unknown","org-03dedf1a-428b-43db-bd56-29c4bb80043e","Invalid Number","Unknown","3","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.09097","10.16781"
"1819","2213","1806","3123","2112","910","910","260","260","520","0","Nigeria","Bauchi","Toro","Wonu South","Lame Health Post","749","1091","1030","856","355","24.16","2187","26","0","1144","1069","0","Invalid Number","Health Post","public","org-d50a5b67-80f6-4b52-bb82-ddf8e1c661c3","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.14667","10.26785"
"4461","4951","3475","4696","4771","2231","2231","637","637","1275","0","Nigeria","Bauchi","Toro","Wonu South","Pingel Health Post","1448","1820","1862","1481","663","26.51","4611","340","0","3402","1549","0","4459","Health Post","public","org-4459b727-1da3-4688-84d9-951489232ca8","Invalid Number","Unknown","4459","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.05090735881","10.2017220604"
"4563","3463","3712","7189","4977","2282","2282","652","652","1304","0","Nigeria","Bauchi","Toro","Zalau","Chediya Health Post","1","2005","2500","2158","907","28.51","3463","0","0","3154","309","0","19","Health Post","public","org-19ff8771-18f8-42a8-9205-89c39f24f108","5","Local Government","19","primary","active","Nigeria","Bauchi","51481341","Toro","nga-ba-5018","9.01241437447","10.3352499755"
"1002","785","832","1871","857","501","501","143","143","286","0","Nigeria","Bauchi","Toro","Zalau","Motto Health Post","1","525","610","530","223","36.60","776","9","0","756","29","0","Invalid Number","Health Post","public","org-e046d04b-098d-4c50-9539-9961d713a325","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","8.97154580125","10.3408389186"
"2049","1516","1648","3837","2251","1025","1025","293","293","585","0","Nigeria","Bauchi","Toro","Zalau","Motto Primary Health Clinic","0","1083","1263","1091","415","31.02","1516","0","0","1515","1","0","Invalid Number","Primary Health Clinic","public","org-b0e5c1b5-ce80-4f19-b112-b25186f2c1e6","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","13143773","Toro","nga-ba-5018","8.97166238485","10.3395272736"
"1323","1144","1289","3224","1589","661","661","189","189","378","0","Nigeria","Bauchi","Toro","Zalau","Riga Primary Health Clinic","0","768","945","802","309","24.79","1136","8","0","1060","84","0","Invalid Number","Primary Health Clinic","public","org-adc23ff5-d760-4a01-a9f4-80b7000d3bc8","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","37704281","Toro","nga-ba-5018","9.02469","10.43758"
"2261","1761","1741","3505","2499","1130","1130","323","323","646","0","Nigeria","Bauchi","Toro","Zalau","Rinjin Gura Health Post","1","1044","1263","1085","502","34.37","1761","0","0","1761","0","0","32","Health Post","public","org-32d870fe-eee9-4c3b-915e-3daa1c3f58d1","5","Local Government","32","primary","active","Nigeria","Bauchi","86157639","Toro","nga-ba-5018","8.97921","10.318657"
"3639","3429","2947","5407","4272","1820","1820","520","520","1040","0","Nigeria","Bauchi","Toro","Zalau","Sabon Garin Tulu Health Post","415","1488","1753","1500","658","41.06","3427","2","0","2951","478","0","55","Health Post","public","org-55b5020d-fcf5-4452-9c3c-e5c1698f9f6f","Invalid Number","Unknown","55","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.00589","10.40528"
"7021","6017","5024","10610","7119","3510","3510","1003","1003","2006","0","Nigeria","Bauchi","Toro","Zalau","Zalau Primary Health Care Center","1087","2838","3435","2945","1412","40.92","6017","0","0","5220","797","0","8","Primary Health Center","public","org-8a35c2ba-4526-4758-a9e9-722361a57a5b","5","Local Government","8","primary","active","Nigeria","Bauchi","40603506","Toro","nga-ba-5018","9.01510999954","10.3935470001"
"1205","874","961","1070","1357","603","603","172","172","344","0","Nigeria","Bauchi","Toro","Zaranda","Galda Health Post","402","484","404","349","125","35.58","874","0","0","874","0","0","9","Health Post","public","org-9f4f2c6a-16c9-4d4d-8480-7560a2997172","5","Local Government","9","primary","active","Nigeria","Bauchi","55602645","Toro","nga-ba-5018","9.542275","10.24583667"
"2419","4809","3473","7520","2816","1209","1209","346","346","691","0","Nigeria","Bauchi","Toro","Zaranda","Kafin Dilimi Health Post","2126","3143","2926","2297","520","21.95","4809","0","0","2773","2036","0","47206905","Health Post","public","org-47206905-b0f1-4d43-857e-8d9e19ed47a1","Invalid Number","Unknown","47206905","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.46667","10.419651"
"3145","2929","2838","3079","3265","1572","1572","449","449","898","0","Nigeria","Bauchi","Toro","Zaranda","Kwambo Health Post","1161","1508","1211","958","255","27.72","2929","0","0","2610","319","0","1","Health Post","public","org-1d73c0fa-74e4-43dd-ab96-352375e2d1cf","Invalid Number","Unknown","1","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.53028","10.3077"
"1669","2143","1850","3072","2044","835","835","238","238","477","0","Nigeria","Bauchi","Toro","Zaranda","Makera Primary Health Clinic","1069","1375","1138","939","323","27.99","2143","0","0","1598","545","0","2","Primary Health Clinic","public","org-2d14d838-685c-4723-9f73-06392f7ff353","5","Local Government","2","primary","active","Nigeria","Bauchi","86505768","Toro","nga-ba-5018","9.52306416372","10.3755338667"
"1721","7954","4339","11206","2240","861","861","246","246","492","0","Nigeria","Bauchi","Toro","Zaranda","Mundu Health Post","2890","4252","3764","2764","439","18.23","7911","43","0","4154","3799","0","5","Health Post","public","org-5aeec461-2261-48cb-a5d5-c6a9ef54f925","5","Local Government","5","primary","active","Nigeria","Bauchi","52135556","Toro","nga-ba-5018","9.41294728316","10.435790945"
"988","4812","5433","5810","1422","494","494","141","141","282","0","Nigeria","Bauchi","Toro","Zaranda","Nabardo Primary Health Center","2043","2404","2440","1954","828","48.06","4812","0","0","3367","1444","0","8","Primary Health Clinic","public","org-8fd645b0-666a-4237-9211-3d5bc4bea352","5","Local Government","8","primary","active","Nigeria","Bauchi","37889893","Toro","nga-ba-5018","9.399053","10.22046"
"2015","11258","7846","13179","3394","1007","1007","288","288","576","0","Nigeria","Bauchi","Toro","Zaranda","Nobordo Primary Health Center","5358","6249","5677","4515","1411","36.23","11258","0","0","8002","3256","0","Invalid Number","Primary Health Center","public","org-dddb5568-beb8-4ba6-b5d0-78beff36592f","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.39837141","10.22267589"
"1253","6425","3666","6175","1516","626","626","179","179","358","0","Nigeria","Bauchi","Toro","Zaranda","Rahama Primary Health Care","1949","2640","2176","1606","205","17.17","6425","0","0","3233","3192","0","Invalid Number","Primary Health Center","public","org-d40f6ca9-ed0c-4945-af02-62c4a2de4282","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.45578","10.27178"
"740","831","756","1021","964","370","370","106","106","212","0","Nigeria","Bauchi","Toro","Zaranda","Rishi Primary Health Care","317","377","372","316","155","26.40","831","0","0","486","345","0","3","Primary Health Center","public","org-3a3b2f9c-ef35-458f-b992-ce676fa0d9f6","Invalid Number","Unknown","3","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.56345","10.2904"
"2712","3928","2382","2792","3119","1356","1356","387","387","775","0","Nigeria","Bauchi","Toro","Zaranda","Samira Memorial Health Clinic","1075","1218","1080","882","379","46.32","3928","0","0","3928","0","0","3.8891e+64","Primary Health Clinic","private","org-38891e60-4835-48cd-a26a-1e0597bc9476","5","For Profit","3.8891e+64","primary","active","Nigeria","Bauchi","41747236","Toro","nga-ba-5018","9.46274","10.22497"
"1889","4604","3249","5175","2085","944","944","270","270","540","0","Nigeria","Bauchi","Toro","Zaranda","Taka Dilbu Primary Health Clinic","1865","2313","1771","1334","208","20.83","4604","0","0","2679","1925","0","Invalid Number","Primary Health Clinic","public","org-f0a8069c-73b7-4f91-a848-8a3d327d07bc","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","75025132","Toro","nga-ba-5018","9.48975","10.37469"
"1703","3918","2418","6079","1814","851","851","243","243","486","0","Nigeria","Bauchi","Toro","Zaranda","Yuga Health Post","251","1843","2138","1591","413","22.89","3871","47","0","1899","2017","2","0","Health Post","public","org-00bc2050-2ef5-40db-a8cd-c67c37426f08","Invalid Number","Unknown","0","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.46046022691","10.518179619"
"2958","2661","1934","2847","3213","1479","1479","423","423","845","0","Nigeria","Bauchi","Toro","Zaranda","Zaranda Health Post","926","1165","1060","870","416","40.92","2661","0","0","2661","0","0","2","Health Post","public","org-2d86b397-00a4-47f4-a444-e651c83207f0","Invalid Number","Unknown","2","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.51194283","10.23254905"
"2765","2360","1831","3829","2843","1383","1383","395","395","790","0","Nigeria","Bauchi","Toro","Zaranda","Zaranda Primary Health Clinic","1341","1519","1586","1344","634","45.24","2360","0","0","2360","0","0","Invalid Number","Primary Health Center","public","org-df6925ad-0f02-49bd-9219-c60bced943be","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","84824076","Toro","nga-ba-5018","9.513000175","10.23195228"
