"Population Estimate","","","","","","","","","","","Geography","","","","","Building Estimate","","","","","","Accessibility: Total population - WorldPop (2026)","","","","","","Site Attributes","","","","","","","","","","","","","","",""
"Total population - Meta (2023-04-21)","Total population - WorldPop (2026)","Total population - WorldPop UN (2020)","Total population - Grid3","Total population - Kontur (2023-10-31)","Total women - Meta (2023-04-21)","Total men - Meta (2023-04-21)","Children under 5 - Meta (2023-04-21)","People 15 to 24 - Meta (2023-04-21)","Women 15 to 49 - Meta (2023-04-21)","People 60 and older - Meta (2023-04-21)","Country (Admin 0)","State (Admin 1)","Local government area (Admin 2)","Ward (Admin 3)","Name","OpenStreetMap Buildings (2026-02-20)","Overture Buildings (2026-02-20)","Google Buildings 60+% Confidence (2023-05)","Google Buildings 70+% Confidence (2023-05)","Google Buildings 80+% Confidence (2023-05)","Average Building Footprint (m²) (2023-05)","People within 1hr of driving","People between 1hr - 4hr of driving","People further than 4hr of driving","People within 1hr of walking","People between 1hr - 4hr of walking","People further than 4hr of walking","location_id","facility_level_text","ownership_code","organization_id","nhfr_code","ownership_text","grid3_globalid","facility_level_code","status","country","state","nhfr_uid","lga","lga_location_id","Site Longitude","Site Latitude"
"1152","2749","2142","3064","1168","576","576","165","165","329","0","Nigeria","Bauchi","Toro","Mara","Sutumi Health Post","677","1085","1060","783","235","32.31","2749","0","0","2585","163","0","Invalid Number","Health Post","public","org-aa906164-7e90-47c3-aa75-6572eba1ba79","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","13636184","Toro","nga-ba-5018","9.292642","10.164591"
"1580","3391","2707","4902","1788","790","790","226","226","451","0","Nigeria","Bauchi","Toro","Mara","Taka Bundu Primary Health Clinic","989","1722","1723","1207","223","23.03","3391","0","0","2939","452","0","1000000000","Health Post","public","org-1e9d50a0-3528-4e07-9e68-a340224ab695","5","Local Government","1000000000","primary","active","Nigeria","Bauchi","54298984","Toro","nga-ba-5018","9.31096421028","10.2113063007"
"308","1827","1260","4446","352","154","154","44","44","88","0","Nigeria","Bauchi","Toro","Mara","Yuga Primary Health Clinic","438","1429","1491","1162","175","19.39","1785","42","0","598","1229","0","226","Primary Health Clinic","public","org-226d52ae-fed8-4be4-ac91-031c5fbeadcc","5","Local Government","226","primary","active","Nigeria","Bauchi","39428725","Toro","nga-ba-5018","9.27691","10.31104"
"1249","1692","1343","1760","1476","624","624","178","178","357","0","Nigeria","Bauchi","Toro","Palama","Dorong Primary Health Center","432","682","530","409","207","34.90","1692","0","0","1692","0","0","1","Primary Health Center","public","org-1cd702d8-25dc-4bcd-8da7-5bdcb98b4e70","Invalid Number","Unknown","1","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.2323104","9.9157786"
"4327","3224","3803","5068","4663","2163","2164","618","618","1236","0","Nigeria","Bauchi","Toro","Palama","Gandi Primary Health Clinic","1395","1967","1736","1444","675","37.69","3224","0","0","2968","256","0","2","Health Post","public","org-02d53ef8-ab81-473c-99b6-e25b2db9420b","5","Local Government","2","primary","active","Nigeria","Bauchi","13302009","Toro","nga-ba-5018","9.32623297","9.94753078"
"1980","2237","1876","2555","2000","990","990","283","283","566","0","Nigeria","Bauchi","Toro","Palama","Godong Primary Health Center","562","938","786","624","297","31.68","2237","0","0","2237","0","0","9","Primary Health Center","public","org-9ef58680-96f4-4926-af0d-77368dd0057e","Invalid Number","Unknown","9","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.23734","9.94908"
"1605","2008","1806","2908","1691","803","803","229","229","459","0","Nigeria","Bauchi","Toro","Palama","Kayarda Primary Health Clinic","668","1069","885","721","263","24.46","2008","0","0","2008","0","0","434195","Primary Health Center","public","org-434195b0-d5a0-4426-8e22-36641d73a1f3","Invalid Number","Unknown","434195","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.240112305","9.978881836"
"4147","4024","4193","5217","4353","2074","2074","592","592","1185","0","Nigeria","Bauchi","Toro","Palama","Kufai Primary Health Clinic","1373","2026","1734","1393","432","32.03","4024","0","0","3479","545","0","8","Primary Health Clinic","public","org-08c62c61-5cae-467f-8199-fc5686bd7f26","5","Local Government","8","primary","active","Nigeria","Bauchi","37125572","Toro","nga-ba-5018","9.25998971486","10.0096372166"
"4349","5558","4399","5928","5048","2175","2175","621","621","1243","0","Nigeria","Bauchi","Toro","Palama","Nakwang B Primary Health Center","1311","2208","1827","1442","625","32.03","5558","0","0","4777","781","0","Invalid Number","Primary Health Center","public","org-f805a22f-93cf-4078-94c2-5e39f7dc98b9","Invalid Number","Unknown","Invalid Number","primary","active","Nigeria","Bauchi","Invalid Number","Toro","nga-ba-5018","9.241516113","9.885070801"
"5671","7853","7157","7030","6243","2821","2850","823","823","1587","0","Nigeria","Bauchi","Toro","Palama","Palama Primary Health Clinic","2281","3185","2737","2199","772","31.94","7853","0","0","4571","3282","0","Invalid Number","Primary Health Clinic","public","org-bb5ca1e2-a18b-4596-bb4e-311dc855cf53","5","Local Government","Invalid Number","primary","active","Nigeria","Bauchi","38253203","Toro","nga-ba-5018","9.334929","10.026783"
